,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均湿度(％),平均湿度(％),平均湿度(％),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2020/5/30,27.9,8,1,17.4,8,1,71,8,1,薄曇時々晴,8,1,薄曇時々晴,8,1
2020/5/31,24.5,8,1,18.8,8,1,73,8,1,曇,8,1,曇後一時雨,8,1
2020/6/1,21.2,8,1,18.5,8,1,93,8,1,雨時々曇,8,1,曇時々雨,8,1
2020/6/2,26.6,8,1,18.9,8,1,87,8,1,曇後一時晴,8,1,曇,8,1
2020/6/3,28.5,8,1,20.9,8,1,76,8,1,薄曇,8,1,曇,8,1
2020/6/4,27.6,8,1,20.6,8,1,79,8,1,曇後一時晴,8,1,薄曇時々晴,8,1
2020/6/5,29.9,8,1,20.0,8,1,74,8,1,薄曇時々晴,8,1,薄曇,8,1
2020/6/6,28.4,8,1,18.8,8,1,77,8,1,曇、雷を伴う,8,1,雨時々曇、雷を伴う,8,1
2020/6/7,27.2,8,1,17.4,8,1,67,8,1,晴時々曇,8,1,曇一時晴,8,1
2020/6/8,28.3,8,1,19.7,8,1,73,8,1,晴時々曇,8,1,晴,8,1
2020/6/9,31.0,8,1,20.4,8,1,68,8,1,薄曇,8,1,薄曇後時々晴,8,1
2020/6/10,31.4,8,1,21.8,8,1,65,8,1,晴後一時曇,8,1,晴一時雨後時々曇,8,1
2020/6/11,30.5,8,1,22.7,8,1,85,8,1,曇後雨,8,1,雨時々曇,8,1
2020/6/12,31.6,8,1,22.9,8,1,84,8,1,曇一時晴,8,1,曇時々雨,8,1
2020/6/13,24.3,8,1,19.1,8,1,99,8,1,大雨,8,1,雨時々曇,8,1
2020/6/14,24.0,8,1,19.9,8,1,99,8,1,雨時々曇,8,1,曇一時雨,8,1
2020/6/15,32.6,8,1,21.0,8,1,81,8,1,薄曇,8,1,晴後曇,8,1
2020/6/16,30.5,8,1,21.8,8,1,68,8,1,曇後晴,8,1,晴一時雨,8,1
2020/6/17,28.8,8,1,19.3,8,1,63,8,1,晴一時薄曇,8,1,薄曇一時晴,8,1
2020/6/18,25.5,8,1,19.6,8,1,82,8,1,曇後一時雨,8,1,雨,8,1
2020/6/19,19.8,8,1,18.0,8,1,99,8,1,大雨,8,1,雨時々曇後晴,8,1
2020/6/20,28.7,8,1,17.1,8,1,76,8,1,曇時々晴,8,1,曇,8,1
2020/6/21,26.5,8,1,17.9,8,1,83,8,1,曇時々雨,8,1,曇,8,1
2020/6/22,21.0,8,1,17.6,8,1,95,8,1,雨,8,1,雨,8,1
2020/6/23,27.2,8,1,18.0,8,1,86,8,1,曇一時雨,8,1,曇一時晴,8,1
2020/6/24,26.8,8,1,19.3,8,1,84,8,1,曇一時雨後一時晴,8,1,曇後雨,8,1
2020/6/25,23.3,8,1,17.9,8,1,94,8,1,曇時々雨,8,1,曇一時雨,8,1
2020/6/26,30.9,8,1,19.7,8,1,85,8,1,曇後晴,8,1,曇,8,1
2020/6/27,29.3,8,1,22.2,8,1,83,8,1,曇,8,1,曇後雨,8,1
2020/6/28,24.9,8,1,20.5,8,1,96,8,1,雨後曇,8,1,晴一時曇,8,1
2020/6/29,29.8,8,1,20.1,8,1,69,8,1,晴,8,1,曇時々晴,8,1
2020/6/30,27.7,8,1,22.2,8,1,90,8,1,曇後雨,8,1,雨時々曇,8,1
2020/7/1,26.7,8,1,22.7,8,1,89,8,1,曇時々雨,8,1,雨後曇,8,1
2020/7/2,30.8,8,1,21.7,8,1,72,8,1,晴,8,1,薄曇一時晴,8,1
2020/7/3,28.7,8,1,20.3,8,1,80,8,1,曇時々雨,8,1,大雨,8,1
2020/7/4,27.7,8,1,20.0,8,1,90,8,1,曇時々雨,8,1,曇一時雨,8,1
2020/7/5,28.1,8,1,23.2,8,1,87,8,1,曇時々雨,8,1,曇後雨,8,1
2020/7/6,26.9,8,1,22.8,8,1,92,8,1,雨時々曇,8,1,雨時々曇,8,1
2020/7/7,29.3,8,1,25.1,8,1,84,8,1,曇時々雨,8,1,曇時々雨,8,1
2020/7/8,28.5,8,1,23.6,8,1,83,8,1,曇時々雨,8,1,雨時々曇,8,1
2020/7/9,26.1,8,1,22.3,8,1,96,8,1,雨一時曇,8,1,曇時々雨,8,1
2020/7/10,28.1,8,1,22.7,8,1,90,8,1,雨時々曇,8,1,曇,8,1
2020/7/11,31.2,8,1,24.8,8,1,82,8,1,曇時々雨,8,1,曇時々雨、雷を伴う,8,1
2020/7/12,32.5,8,1,19.9,8,1,81,8,1,曇,8,1,雨時々曇,8,1
2020/7/13,25.2,8,1,18.7,8,1,90,8,1,曇時々雨,8,1,雨,8,1
2020/7/14,23.7,8,1,20.6,8,1,97,8,1,雨後曇,8,1,曇,8,1
2020/7/15,22.0,8,1,17.7,8,1,97,8,1,雨,8,1,雨後一時曇,8,1
2020/7/16,24.6,8,1,17.4,8,1,86,8,1,曇,8,1,曇後雨,8,1
2020/7/17,20.6,8,1,18.1,8,1,98,8,1,雨後時々曇,8,1,雨一時曇,8,1
2020/7/18,22.0,8,1,19.2,8,1,100,8,1,雨時々曇,8,1,曇,8,1
2020/7/19,29.3,8,1,21.4,8,1,90,8,1,晴一時曇,8,1,曇一時晴,8,1
2020/7/20,31.9,8,1,23.1,8,1,80,8,1,薄曇,8,1,曇時々雨,8,1
2020/7/21,29.0,8,1,22.5,8,1,88,8,1,曇,8,1,曇時々雨,8,1
2020/7/22,29.9,8,1,24.9,8,1,89,8,1,曇時々雨,8,1,曇後時々雨、雷を伴う,8,1
2020/7/23,26.0,8,1,22.1,8,1,99,8,1,雨,8,1,曇一時雨,8,1
2020/7/24,27.2,8,1,21.6,8,1,94,8,1,曇時々雨,8,1,曇時々雨,8,1
2020/7/25,27.4,8,1,23.7,8,1,98,8,1,雨時々曇,8,1,曇時々雨,8,1
2020/7/26,31.2,8,1,23.5,8,1,95,8,1,曇時々雨一時晴,8,1,曇一時雨、雷を伴う,8,1
2020/7/27,30.7,8,1,23.9,8,1,88,8,1,曇後時々雨,8,1,雨時々曇,8,1
2020/7/28,31.0,8,1,23.9,8,1,90,8,1,雨時々曇,8,1,雨時々曇,8,1
2020/7/29,25.6,8,1,21.3,8,1,87,8,1,曇時々雨,8,1,曇時々雨,8,1
2020/7/30,26.5,8,1,20.4,8,1,84,8,1,曇,8,1,曇,8,1
2020/7/31,29.6,8,1,22.4,8,1,90,8,1,曇時々雨,8,1,曇後時々雨,8,1
2020/8/1,31.8,8,1,21.8,8,1,77,8,1,晴,8,1,晴一時曇,8,1
2020/8/2,31.5,8,1,22.6,8,1,75,8,1,晴時々曇,8,1,晴,8,1
2020/8/3,32.3,8,1,22.3,8,1,74,8,1,晴,8,1,晴,8,1
2020/8/4,33.1,8,1,24.5,8,1,77,8,1,晴,8,1,晴後時々曇,8,1
2020/8/5,34.2,8,1,25.7,8,1,76,8,1,晴,8,1,晴後一時曇,8,1
2020/8/6,33.1,8,1,25.5,8,1,79,8,1,晴時々薄曇,8,1,晴,8,1
2020/8/7,35.4,8,1,26.0,8,1,71,8,1,薄曇,8,1,曇一時晴,8,1
2020/8/8,32.3,8,1,25.1,8,1,79,8,1,曇後晴,8,1,曇一時晴,8,1
2020/8/9,34.7,8,1,23.4,8,1,77,8,1,薄曇,8,1,薄曇時々晴,8,1
2020/8/10,35.2,8,1,26.9,8,1,73,8,1,薄曇,8,1,晴時々薄曇,8,1
2020/8/11,37.3,8,1,27.0,8,1,67,8,1,晴,8,1,快晴,8,1
2020/8/12,35.8,8,1,27.3,8,1,79,8,1,晴後曇一時雨、雷を伴う,8,1,曇一時雨後晴,8,1
2020/8/13,36.1,8,1,25.4,8,1,82,8,1,晴後時々曇一時雨、雷を伴う,8,1,晴,8,1
2020/8/14,34.2,8,1,24.9,8,1,78,8,1,晴,8,1,晴後一時曇,8,1
2020/8/15,36.1,8,1,26.9,8,1,76,8,1,晴,8,1,晴後薄曇,8,1
2020/8/16,35.4,8,1,28.0,8,1,74,8,1,晴、雷を伴う,8,1,曇後晴,8,1
2020/8/17,36.5,8,1,27.2,8,1,76,8,1,曇後一時晴,8,1,曇一時雨,8,1
2020/8/18,34.3,8,1,27.8,8,1,71,8,1,晴一時曇,8,1,曇時々晴,8,1
2020/8/19,34.2,8,1,25.6,8,1,72,8,1,晴時々薄曇,8,1,晴一時薄曇,8,1
2020/8/20,34.8,8,1,25.8,8,1,74,8,1,晴,8,1,快晴,8,1
2020/8/21,36.0,8,1,26.0,8,1,72,8,1,晴,8,1,晴,8,1
2020/8/22,35.2,8,1,24.0,8,1,75,8,1,晴時々曇,8,1,曇時々雨、雷を伴う,8,1
2020/8/23,29.4,8,1,23.2,8,1,87,8,1,曇時々大雨、雷を伴う,8,1,晴時々曇一時雨,8,1
2020/8/24,32.3,8,1,23.0,8,1,79,8,1,晴一時曇,8,1,曇一時晴,8,1
2020/8/25,32.2,8,1,24.8,8,1,75,8,1,晴,8,1,晴,8,1
2020/8/26,34.0,8,1,24.3,8,1,77,8,1,晴,8,1,晴,8,1
2020/8/27,33.6,8,1,26.3,8,1,79,8,1,晴一時雨,8,1,晴後時々曇,8,1
2020/8/28,34.5,8,1,27.0,8,1,76,8,1,晴一時曇,8,1,晴,8,1
2020/8/29,35.0,8,1,26.9,8,1,73,8,1,晴,8,1,薄曇時々晴,8,1
2020/8/30,34.9,8,1,26.6,8,1,73,8,1,晴,8,1,晴後薄曇,8,1
2020/8/31,32.6,8,1,22.7,8,1,80,8,1,曇時々晴,8,1,曇時々雨,8,1
2020/9/1,27.4,8,1,21.9,8,1,85,8,1,曇,8,1,曇時々雨,8,1
2020/9/2,32.1,8,1,24.0,8,1,93,8,1,曇時々晴一時雨、雷を伴う,8,1,曇後時々雨一時晴,8,1
2020/9/3,32.7,8,1,26.4,8,1,85,8,1,晴時々曇一時雨,8,1,薄曇時々晴,8,1
2020/9/4,35.1,8,1,25.1,8,1,76,8,1,晴,8,1,曇後晴,8,1
2020/9/5,34.2,8,1,25.3,8,1,79,8,1,晴一時曇,8,1,曇時々雨、雷を伴う,8,1
2020/9/6,29.5,8,1,22.5,8,1,94,8,1,曇時々雨一時晴、雷を伴う,8,1,曇時々雨、雷を伴う,8,1
2020/9/7,31.2,8,1,24.2,8,1,93,8,1,曇時々雨、雷を伴う,8,1,曇一時雨後晴,8,1
2020/9/8,34.2,8,1,26.9,8,1,73,8,1,晴後一時曇,8,1,薄曇後晴,8,1
2020/9/9,33.6,8,1,25.2,8,1,72,8,1,晴,8,1,薄曇時々晴一時雨,8,1
2020/9/10,31.7,8,1,25.2,8,1,80,8,1,曇一時晴,8,1,晴,8,1
2020/9/11,32.5,8,1,24.9,8,1,79,8,1,晴時々曇,8,1,曇時々雨,8,1
2020/9/12,27.7,8,1,22.0,8,1,97,8,1,雨時々曇,8,1,雨時々曇後晴,8,1
